transcript_id	rci_total	n_cell_lines	sign_agreement	rci_polyA
ENST00000294715	-0.7392906471124503	1.0	1.0	1.4763764056491433
ENST00000307533	-3.1373613641427793	2.0	1.0	0.0462812754779043
ENST00000317114	-2.6320251487170623	2.0	1.0	-1.9946677152700536
ENST00000326677	-0.32013727607527065	2.0	1.0	1.816267714435607
ENST00000330825	-6.027905996569884	1.0	1.0	-5.766800823706969
ENST00000335648	-3.508549385201988	1.0	1.0	-3.9883436687365097
ENST00000359074	-1.255500733148386	1.0	1.0	2.8012804076479196
ENST00000359941	1.7151299131865128	2.0	1.0	1.4787381434590796
ENST00000366446	-3.64856900338048	2.0	1.0	-0.5822513362136821
ENST00000369605	-2.1721622982849937	2.0	1.0	0.0180720358626657
ENST00000394864	-3.020659470566093	1.0	1.0	-3.1064320778169288
ENST00000398043	-1.847098388849569	2.0	1.0	-0.6060193129734087
ENST00000399543	-6.839203788096944	1.0	1.0	-3.1948248546645033
ENST00000400436	-1.6511527804156227	1.0	1.0	-4.133393270347451
ENST00000412224	-3.9935449778627006	1.0	1.0	-0.0453899721894376
ENST00000413722	-2.2848995152938	2.0	1.0	-1.8895523189820165
ENST00000413791	-3.7625006862733437	1.0	1.0	-2.403124177735343
ENST00000414002	0.7745203771510392	2.0	0.5	2.073109683897085
ENST00000414209	-1.7598505406413958	2.0	1.0	-0.1948629031922145
ENST00000414386	0.9288339612472194	2.0	1.0	0.7079658727168338
ENST00000414676	-0.44904934876925534	2.0	1.0	0.531907783835035
ENST00000415215	-4.295455883526172	1.0	1.0	1.025666159459791
ENST00000416022	-3.751320887143276	1.0	1.0	-3.3097276412818353
ENST00000416395	-3.8176232575114315	1.0	1.0	-1.4033556942312084
ENST00000416650	-2.140904365656277	2.0	1.0	-1.2906380246664215
ENST00000417721	-0.4481788067392884	2.0	1.0	1.979593789338163
ENST00000417897	0.2560139781560214	1.0	1.0	0.7784368092530829
ENST00000419253	-1.8214991043778734	1.0	1.0	-1.4535116470934792
ENST00000419746	-2.9634341489268694	2.0	1.0	-2.532109452114062
ENST00000420199	-7.789412721145817	2.0	1.0	-4.112857469031855
ENST00000420330	-3.919946748433965	1.0	1.0	-3.910954880190557
ENST00000420424	-7.131010708216552	2.0	1.0	-4.223274867231233
ENST00000421293	3.0996871404565516	2.0	1.0	1.2023746740737744
ENST00000422961	-0.5711567011961256	1.0	1.0	0.8376313441518923
ENST00000425170	-8.373311611224539	2.0	1.0	-5.308615733342162
ENST00000425669	-5.200147807561786	2.0	1.0	-4.22168175475024
ENST00000426161	-0.12379863195961045	2.0	0.5	1.2594188934093518
ENST00000427063	-1.9750467516515515	2.0	1.0	0.4320540506578914
ENST00000427501	-0.6440436460864298	2.0	1.0	-3.70427610845554
ENST00000427846	-4.1645717669481055	1.0	1.0	-2.1775381855521876
ENST00000428008	-0.5168855780106756	2.0	1.0	0.83884405972529
ENST00000428207	-2.0703893278913976	1.0	1.0	-0.2763619374807866
ENST00000428254	1.502500340529183	1.0	1.0	-2.008885532766323
ENST00000428818	-8.184875342908283	1.0	1.0	-3.5785620159481457
ENST00000428833	-0.4560052156458211	2.0	1.0	2.3389679981858262
ENST00000428858	-4.942990510405467	2.0	1.0	-2.358596804934759
ENST00000429922	-4.552808777322205	2.0	1.0	-3.5592758570575067
ENST00000430188	-4.46410810584677	1.0	1.0	-2.9788474831400045
ENST00000431043	-4.586469035426186	2.0	1.0	-3.8427785884839016
ENST00000431259	-3.554588851677637	1.0	1.0	-1.8024000401148392
ENST00000431844	-2.4819877432034705	1.0	1.0	-1.8585082591480115
ENST00000433446	-1.048363021561399	1.0	1.0	-0.536501011764511
ENST00000433843	-3.1827128665855504	2.0	1.0	-0.5283789723547889
ENST00000435649	4.919856627601414	2.0	1.0	4.375594342917822
ENST00000435749	-4.659163442562573	1.0	1.0	-4.816742827220386
ENST00000435947	0.4846785413438768	1.0	1.0	0.6352972118051146
ENST00000436996	-3.2867456046100223	2.0	1.0	-1.732513869497054
ENST00000437019	-2.9989898773090777	2.0	1.0	-4.138241465260334
ENST00000437551	-3.1739269319998087	1.0	1.0	-0.6340893581923317
ENST00000437713	-1.5488134972481906	1.0	1.0	1.0527414620719735
ENST00000438202	-1.6724253419714954	1.0	1.0	-0.4593963423324052
ENST00000438482	-2.3250257161743404	2.0	1.0	-4.228436294667949
ENST00000439670	-3.438573013739633	1.0	1.0	-2.3017055536904647
ENST00000439955	-3.857273731525208	2.0	1.0	-3.508726914894071
ENST00000440001	-3.3021196138071818	1.0	1.0	-2.95798367536384
ENST00000440194	-3.48608725063835	1.0	1.0	1.6955870966389623
ENST00000440408	-4.660250628025393	1.0	1.0	0.0668592081343557
ENST00000440862	-6.636920559859946	2.0	1.0	-3.9289438280382982
ENST00000442119	-1.6043098191501697	2.0	1.0	1.2505924271516755
ENST00000442329	-5.922638098448678	2.0	1.0	-1.6411727695523073
ENST00000442419	-6.184696434102891	2.0	1.0	-4.73582709679134
ENST00000443596	-2.861734702892451	2.0	1.0	-0.4949211282590067
ENST00000443802	1.8396937486826825	2.0	1.0	1.728526265877796
ENST00000444232	-1.7620309315481137	1.0	1.0	0.8557780705265612
ENST00000444375	-7.496048731459245	2.0	1.0	-2.1922928144707665
ENST00000444816	0.48807662902281607	2.0	0.5	1.019365324866931
ENST00000445184	-6.618246309190651	2.0	1.0	-4.175638652636706
ENST00000445272	0.2740995697967473	1.0	1.0	-0.7279204545631992
ENST00000445520	1.733390995917567	2.0	1.0	1.599503133984847
ENST00000445682	-5.035474295009417	2.0	1.0	-5.523561956057013
ENST00000446751	-2.953154446524498	2.0	1.0	-0.4375800679299321
ENST00000448136	-1.6515239630657714	2.0	1.0	-1.8395689706338652
ENST00000448373	-1.3018903416508174	1.0	1.0	-1.1493776240382267
ENST00000449363	-5.11150831521699	1.0	1.0	-1.443790692216704
ENST00000449419	-4.694156772863321	2.0	1.0	-0.2304965102131752
ENST00000449602	-6.459431618637297	1.0	1.0	-3.892872993243661
ENST00000450535	-3.0339473319233377	1.0	1.0	-0.4363868194722772
ENST00000450784	3.1916200725416313	1.0	1.0	1.321730184698592
ENST00000451786	-6.173260714005568	1.0	1.0	-3.955042217793631
ENST00000451837	-2.2607642322089667	1.0	1.0	-4.655351828612554
ENST00000452320	-4.098989094631367	1.0	1.0	-1.9142306049550368
ENST00000452399	1.1548181090521044	1.0	1.0	1.2102148236021677
ENST00000453317	-4.556064494983064	2.0	1.0	-2.878066868618243
ENST00000455485	-7.554588851677638	1.0	1.0	-6.089908778610822
ENST00000455777	-7.645207449964636	2.0	1.0	-8.01144396090163
ENST00000456053	-6.539033696630145	2.0	1.0	-5.6984566318619905
ENST00000457147	-2.177761495674279	1.0	1.0	-0.8538361132887649
ENST00000457390	-8.129283016944965	1.0	1.0	-3.8610869059953936
ENST00000457658	-5.087462841250339	1.0	1.0	-2.470307895516554
ENST00000457758	-4.122759893363632	1.0	1.0	-0.5087519341010376
ENST00000458698	-2.4493074013635905	1.0	1.0	-1.8401443925438288
ENST00000458739	-2.306145661999766	2.0	1.0	-0.0868477826113199
ENST00000460249	-4.146347447413016	2.0	1.0	-2.601926507454299
ENST00000461448	0.6471041999816082	2.0	1.0	-3.766867079880068
ENST00000461832	-1.7445838456331928	2.0	1.0	-2.686924911666611
ENST00000464612	-1.0036869069115797	2.0	1.0	-3.6156622997577417
ENST00000470491	6.620097526989962	2.0	1.0	2.3969279063142226
ENST00000470977	-4.54189377882927	1.0	1.0	-3.679051664091474
ENST00000473713	-4.865070419913891	1.0	1.0	-3.773786927393206
ENST00000474814	-0.09300058715317724	2.0	0.5	-4.775800188182759
ENST00000475947	-0.4182818653985747	2.0	1.0	2.168614432359005
ENST00000475953	0.0745542746888182	2.0	0.5	-0.1938150374919674
ENST00000481027	0.8669660653457116	2.0	1.0	1.83656980267074
ENST00000481220	-4.197078211221271	2.0	1.0	-3.1585919106347253
ENST00000481368	-3.8238675746972324	2.0	1.0	-4.513700311025848
ENST00000481898	-0.9293221676303284	2.0	1.0	1.97469206802235
ENST00000483140	1.611691276452917	2.0	1.0	2.255547647771771
ENST00000483342	-6.266786540694901	1.0	1.0	-4.199857507519143
ENST00000491009	-1.7931196355162402	2.0	1.0	-1.715444787154935
ENST00000493536	-0.8258151796026129	2.0	1.0	1.9653715749817051
ENST00000496733	-7.267420654219705	2.0	1.0	-6.789502198831414
ENST00000497774	-3.9339008725882376	2.0	1.0	-4.05607152650204
ENST00000498917	-1.2036889826580397	1.0	1.0	-0.027936876503123
ENST00000500370	-1.5973533585093698	2.0	1.0	-1.339094335810754
ENST00000500634	-5.689299160535891	1.0	1.0	-3.5080946190496647
ENST00000501177	1.8160721391587133	1.0	1.0	0.767005157656946
ENST00000502066	1.1118928800708971	1.0	1.0	1.987002395733528
ENST00000502125	-5.8529975876133165	1.0	1.0	-3.9722930708301583
ENST00000503152	-0.5388660861317022	1.0	1.0	0.5231686562210689
ENST00000504300	2.3144140412300556	1.0	1.0	2.4171715027744733
ENST00000504636	-4.038923501520674	2.0	1.0	-3.782363205141472
ENST00000504769	-5.011505864796941	2.0	1.0	-4.809102998802885
ENST00000505637	-1.3974351828134082	1.0	1.0	-0.0864817748517233
ENST00000505918	-4.363404730863522	1.0	1.0	-5.502599606910488
ENST00000506584	-0.7450706438032615	1.0	1.0	-1.5705942104329191
ENST00000506606	-4.644765936109414	2.0	1.0	-1.062568662099495
ENST00000506914	-2.259087221317131	1.0	1.0	-1.146389486981523
ENST00000507736	-0.9791505229051374	2.0	1.0	-1.1585459393118218
ENST00000508000	-0.6026645024546151	1.0	1.0	-0.2350771762860141
ENST00000508110	-1.6595094540862105	1.0	1.0	-1.4827288424191063
ENST00000508123	-6.787902559391432	1.0	1.0	-5.318855260837739
ENST00000510523	-1.0279059965698845	1.0	1.0	-1.051883680265512
ENST00000513011	-7.984487110509962	2.0	1.0	-4.7369655941662066
ENST00000517411	-1.7348107094625322	1.0	1.0	0.2444490107763438
ENST00000518073	-1.4940917911604035	2.0	1.0	1.0364348556957457
ENST00000518600	-6.741466986401147	1.0	1.0	-3.110245316705511
ENST00000521207	-2.7237902054184726	1.0	1.0	-3.84937813695331
ENST00000523031	-3.4785911969207524	1.0	1.0	-2.638509482877037
ENST00000524003	-2.5973586217535374	2.0	1.0	0.5665015157453297
ENST00000524062	-2.5374341306385704	1.0	1.0	-4.134918660565336
ENST00000524335	-4.572889668420581	1.0	1.0	-3.4586688932476637
ENST00000525941	2.0151598071710057	1.0	1.0	0.5832692678708316
ENST00000526588	-0.11941516694477078	1.0	1.0	-3.4410530893224425
ENST00000530778	-5.661626746176966	2.0	1.0	-4.47826403158172
ENST00000531126	-0.4515408330178321	1.0	1.0	-0.570919552343633
ENST00000532226	-7.184875342908284	1.0	1.0	-3.60768257722124
ENST00000544685	-4.7212644343662635	2.0	1.0	-2.009218530029379
ENST00000553657	-3.92283213947754	1.0	1.0	-3.373519148824386
ENST00000553829	-7.4733973063588515	2.0	1.0	-5.453534462813891
ENST00000554036	-1.960001932068081	1.0	1.0	-2.5528315380690865
ENST00000554133	-6.966263100466401	2.0	1.0	-5.218834601923259
ENST00000554169	-1.6559372151117198	2.0	1.0	-1.0957080752368062
ENST00000554309	-8.344295907915816	1.0	1.0	-2.0321586677743744
ENST00000554360	-4.647956034046977	2.0	1.0	-2.307916004514638
ENST00000555037	-4.49958791015785	2.0	1.0	-1.7612290290372954
ENST00000555227	-10.16066900246962	2.0	1.0	-6.235344850199594
ENST00000555520	-6.112901927992792	2.0	1.0	-1.6110123970287349
ENST00000555707	-7.556291021220634	2.0	1.0	-4.419538891513785
ENST00000555766	-3.849175097752231	1.0	1.0	-5.290677160902923
ENST00000555996	-5.577428828035749	1.0	1.0	-2.1590870218210174
ENST00000556033	-5.288481611794221	1.0	1.0	-2.3757245752540177
ENST00000556379	-2.407503826593436	1.0	1.0	1.8412422329695175
ENST00000556400	-0.7500217469916521	1.0	1.0	1.0856087155088368
ENST00000556673	-4.392317422778761	1.0	1.0	-2.1734465323639283
ENST00000556895	8.330299164606375	2.0	1.0	1.4456258191122668
ENST00000557147	-1.755235026145992	2.0	1.0	0.4003484565505393
ENST00000557339	-7.022367813028454	1.0	1.0	-3.839959587489532
ENST00000557412	-2.167456745851563	1.0	1.0	-2.1569674855877414
ENST00000557660	-5.333818470218214	2.0	1.0	-1.7436862353921565
ENST00000557682	-1.7822619627919227	2.0	1.0	1.191351061666707
ENST00000558031	-8.364134655008051	1.0	1.0	-6.926790153046223
ENST00000558071	-3.15200309344505	1.0	1.0	-2.103564790145833
ENST00000558174	-1.4334965958531383	2.0	1.0	-0.9124537166977548
ENST00000558188	-5.58796498888268	1.0	1.0	-1.2724116826031948
ENST00000558952	-2.7639985528632223	1.0	1.0	-2.5832398795721487
ENST00000559432	1.032567862456431	1.0	1.0	-0.1864307259253442
ENST00000559598	0.2135954730992892	1.0	1.0	0.3958100982674872
ENST00000560029	-7.897845456005512	1.0	1.0	-6.5584207132686645
ENST00000560208	-4.83094174237522	1.0	1.0	-6.167059055946252
ENST00000561107	-1.7220302002546783	2.0	1.0	-0.9591662824914222
ENST00000561521	-3.6386004643232295	1.0	1.0	-1.2459719573443206
ENST00000561611	-5.162082235070685	2.0	1.0	-4.3078985349833046
ENST00000562842	3.203533394085132	1.0	1.0	2.8930847960834885
ENST00000564800	-7.2992080183872785	1.0	1.0	-4.330471481568722
ENST00000565747	-0.3503098962571847	1.0	1.0	1.1812249011792526
ENST00000568418	-1.0184726600714786	1.0	1.0	-2.2484980706808786
ENST00000568947	2.4449739850690375	2.0	0.5	-3.6144348904469785
ENST00000569162	-3.4716723915712153	2.0	1.0	-1.3685616162739946
ENST00000570035	-5.687616275143581	2.0	1.0	-3.630886868619397
ENST00000570080	-0.5668326966156171	1.0	1.0	1.4198257381278894
ENST00000572046	-1.4182257769098914	1.0	1.0	-1.6347155359182557
ENST00000573187	-2.402098443571346	1.0	1.0	-0.7331064915141896
ENST00000574306	-6.071422537645247	2.0	1.0	-3.487265826834023
ENST00000575089	-3.820162642292935	2.0	1.0	-1.992343302897077
ENST00000577267	-7.0	1.0	1.0	-5.977279923499917
ENST00000578380	-2.5262840254020764	2.0	1.0	2.857880951860597
ENST00000578757	-2.7979614607598107	2.0	1.0	-1.5349370404576967
ENST00000578994	-2.5047921520371728	1.0	1.0	-2.212253974546865
ENST00000580180	0.5960976437656129	2.0	1.0	2.013616947792156
ENST00000580440	-1.5153678934577672	2.0	1.0	-1.4839814822095918
ENST00000581718	-1.6838658922502434	2.0	1.0	-2.7747870596011732
ENST00000581794	-5.258734268400168	1.0	1.0	-4.1384140286970945
ENST00000581913	-3.0688950812110676	1.0	1.0	-0.3085385445910097
ENST00000582096	-4.212783771167849	2.0	1.0	-5.88775194919926
ENST00000582911	2.2756116450092074	2.0	1.0	3.3680899490376044
ENST00000584023	-6.105878978027137	2.0	1.0	-5.361943773735241
ENST00000584108	-6.578031659851456	2.0	1.0	-5.263958333767371
ENST00000584141	-9.678470966441282	2.0	1.0	-3.302278319343323
ENST00000585065	-7.10520521750771	2.0	1.0	-5.40262684953383
ENST00000585487	-3.1778957733768234	2.0	1.0	-1.7470898114399136
ENST00000586169	-0.19953146352763612	1.0	1.0	-1.8555416329142915
ENST00000586248	-6.121884515980926	2.0	1.0	-6.866837346088079
ENST00000586784	-3.326411548305014	2.0	1.0	-0.8972126841133682
ENST00000586942	-0.8500547679250133	2.0	1.0	1.0156532643114855
ENST00000586954	-5.189508643547091	2.0	1.0	-5.10013667128545
ENST00000587743	-2.0377694499761687	2.0	1.0	-4.48165178347886
ENST00000587838	-3.2068648315971617	2.0	1.0	1.318319350546573
ENST00000587944	-7.467605550082998	1.0	1.0	-6.298723201082332
ENST00000588784	-5.049243519019849	1.0	1.0	-2.2747329272176677
ENST00000589434	-3.620380619845881	1.0	1.0	-2.0588936890535683
ENST00000590040	-3.5374341306385704	1.0	1.0	-2.6493996424874116
ENST00000590435	-0.656485434060329	2.0	1.0	1.6035917216331164
ENST00000590479	1.538976295446976	1.0	1.0	0.9369902024741998
ENST00000590523	-2.206238196623018	2.0	1.0	0.5343582400728271
ENST00000590628	-1.2055841336498938	1.0	1.0	-0.2087252449114029
ENST00000590677	-2.0293155668245557	1.0	1.0	0.4178598576114285
ENST00000590740	-7.039909042606177	2.0	1.0	-3.615019734577336
ENST00000590932	-7.455327220304561	1.0	1.0	-6.0
ENST00000591299	0.9219974879987272	1.0	1.0	0.4827312374763117
ENST00000591312	0.33086773190954133	1.0	1.0	-0.0728788799170958
ENST00000591338	-4.156504485679991	1.0	1.0	-4.370457988815021
ENST00000591484	-0.5443205162238101	1.0	1.0	-4.901537361114312
ENST00000591867	-6.7615512324444795	1.0	1.0	-7.076815597050831
ENST00000591956	-2.6805647725127466	2.0	1.0	-3.2241680462262994
ENST00000592107	-1.6017132519074588e-16	1.0	1.0	0.8097838136807641
ENST00000592689	-5.680404841168532	2.0	1.0	-5.474787195345195
ENST00000598905	-3.3023245398307326	2.0	1.0	-2.1213062962221336
ENST00000601494	-5.877744249949002	1.0	1.0	-4.259776305537434
ENST00000602294	1.8201789624151876	1.0	1.0	2.7717937368346592
ENST00000602381	-5.081388326840655	1.0	1.0	1.5758888273660263
ENST00000602414	-1.3011029263492238	2.0	1.0	-0.2643791202005029
ENST00000602483	1.7377249052540231	2.0	1.0	1.0558801960404598
ENST00000602520	-0.4805279537765253	2.0	1.0	0.1830732134856718
ENST00000602539	-3.985446241119386	2.0	1.0	-1.660504367212308
ENST00000602573	-1.6901673802021357	2.0	1.0	-3.040461996344048
ENST00000602737	-2.2223924213364477	1.0	1.0	0.4915661777103891
ENST00000602819	0.88483146682857	2.0	1.0	1.455631650573867
ENST00000602920	-0.13429696558784726	2.0	0.5	1.3479138075450012
ENST00000602985	0.2954558835261713	1.0	1.0	-0.7115741207540214
ENST00000604956	-8.978968178631176	2.0	1.0	-6.698405308970235
ENST00000606660	-0.8549455893189092	2.0	1.0	0.921247597587324
ENST00000606853	-0.677647826322364	2.0	1.0	0.0567005874796522
ENST00000609228	-2.0617931433877215	2.0	1.0	-1.0886902186079594
ENST00000609983	-2.9232850338591874	1.0	1.0	0.5479234902973908
ENST00000610290	0.3428877135230085	1.0	1.0	-5.289041168820451
ENST00000612949	-6.470319934780034	1.0	1.0	-5.789619440518593
ENST00000613942	-0.9068905956085186	1.0	1.0	-2.236743606929358
ENST00000613966	-2.496831590442491	1.0	1.0	-4.956122034526375
ENST00000614953	-4.0052942996695124	1.0	1.0	-5.41196457329656
ENST00000619653	-6.425994458832662	2.0	1.0	-5.146047899424372
ENST00000620029	-3.5216599188126385	1.0	1.0	-5.569855608330948
ENST00000620594	-0.48150451714128095	2.0	1.0	1.225455912753436
ENST00000622345	-6.665335917185176	1.0	1.0	-4.2223924213364485
ENST00000623001	0.5222984659389855	1.0	1.0	1.6871170447156445
ENST00000623047	-8.7714894695006	1.0	1.0	-4.05191208864247
ENST00000623175	-0.2523871616342852	1.0	1.0	0.8093983664483984
ENST00000623598	-7.049848549450561	1.0	1.0	-2.230297619421794
ENST00000623640	-2.1255196493698736	2.0	1.0	-4.168424092443712
ENST00000623910	-0.8511366140855176	1.0	1.0	2.0287154510398833
ENST00000624533	-2.26783924650643	2.0	1.0	-4.036909740567042
ENST00000624829	-2.0792077607619723	2.0	1.0	-2.8724753455911003
ENST00000624846	-3.888832251030391	2.0	1.0	-2.587879251995383
ENST00000625175	6.915505140473259	2.0	1.0	8.649256177517314
ENST00000626572	-5.683510548948151	2.0	1.0	-2.539598150962659
ENST00000626954	-7.076815597050831	1.0	1.0	-5.178301720875861
ENST00000627019	-4.562242424221073	1.0	1.0	2.855520448432114
ENST00000627540	-6.6865005271832185	1.0	1.0	-6.7481928495894605
ENST00000627564	-3.7389095499334006	2.0	1.0	-2.8179495093108455
ENST00000629357	-2.760220946466509	1.0	1.0	-0.193725177337833
ENST00000629576	-1.1276332797258737	1.0	1.0	2.9564474628278097
ENST00000635031	-3.6155116997185868	2.0	1.0	-1.456923310197471
ENST00000635581	1.9755469562754608	1.0	1.0	2.5071182535862495
ENST00000635959	4.12615210916173	2.0	1.0	3.972192739680721
ENST00000638174	-4.672425341971495	1.0	1.0	-2.6915353826049087
ENST00000638919	-4.776103988073165	1.0	1.0	-1.7266491511960562
ENST00000639185	-7.189824558880017	1.0	1.0	-2.330148601692331
ENST00000640355	-5.649615459063409	1.0	1.0	-5.560159109720583
ENST00000640838	-3.7813597135246595	1.0	1.0	-0.6122944826923518
ENST00000645429	-2.1489914518194952	2.0	1.0	-0.8213080893847255
ENST00000646086	-1.3797006811999442	2.0	0.5	1.0467975435651264
ENST00000646587	-7.046641720168267	2.0	1.0	-4.648288436089985
ENST00000647388	-7.62528337570152	2.0	1.0	-7.026006103025129
ENST00000649789	-3.727095350142145	1.0	1.0	-1.6550885871117984
ENST00000650239	0.13680117993331142	2.0	0.5	-2.789802585248901
